event_id,mortality_signal
13847383706,0
13847383707,0
13847383708,0
13877262948,0
13877262949,0
13877262950,0
14074649058,0
14074649059,0
14074649060,0
14074649061,0
14074649062,0
14074605754,0
14074605755,0
14074605756,0
14073506348,0
14073506349,0
14073506350,0
14073506351,0
14073506352,0
14073506353,0
14331446238,0
14331446239,0
14331446240,0
13847383718,0
13847383719,0
13847383720,0
13858477666,0
13858477667,0
13858477668,0
13877262902,0
13877262903,0
13877262904,0
14074649604,0
14074649605,0
14074649606,0
14074647290,0
14074647291,0
14074647292,0
14074647293,0
14074647294,0
14074647295,0
14074647296,0
14074647297,0
14074647298,0
14074647299,0
14074647300,0
14074647301,0
14074640318,0
14074640319,0
14074640320,0
14073506386,0
14073506387,0
14073506388,0
13847383721,0
13847383722,0
13847383723,0
13877262908,0
13877262909,0
13877262910,0
14074649613,0
14074649614,0
14074649615,0
14074648111,0
14074648112,0
14074648113,0
14074646711,0
14074646712,0
14074646713,0
14074646714,0
14074646715,0
14074646716,0
14074605791,0
14074605792,0
14074605793,0
14074605794,0
14074605795,0
14074605796,0
14074605797,0
14074605798,0
14074605799,0
14073506392,0
14073506393,0
14073506394,0
14100898014,0
14100898015,0
14100898016,0
14116496522,0
14116496523,0
14116496524,0
14132750947,0
14132750948,0
14132750949,0
14150365607,0
14150365608,0
14150365609,0
14165992925,0
14165992926,0
14165992927,0
14212529103,0
14212529104,0
14212529105,0
14249914823,0
14249914824,0
14249914825,0
14271288721,0
14271288722,0
14271288723,0
14301614211,0
14301614212,0
14301614213,0
14324581195,0
14324581196,0
14324581197,0
14378167011,0
14378167012,0
14378167013,0
14392731106,0
14392731107,0
14392731108,0
14435161647,0
14435161648,0
14435161649,0
14514930663,0
14514930664,0
14514930665,0
14496707027,0
14496707028,0
14496707029,0
14504686091,0
14504686092,0
14504686093,0
14558553341,0
14558553342,0
14558553343,0
14558553344,0
14558553345,0
14558553346,0
14585594717,0
14585594718,0
14585594719,0
14620630147,0
14620630148,0
14620630149,0
14636700097,0
14636700098,0
14636700099,0
14681045879,0
14681045880,0
14681045881,0
14726461104,0
14726461105,0
14726461106,0
14789576176,0
14789576177,0
14789576178,0
14867959665,0
14867959666,0
14867959667,0
14921488246,0
14921488247,0
14921488248,0
