event_id,mortality_signal
25700295757,0
25700295767,0
25649052142,0
25700295778,0
25700295784,0
25882162699,0
25882162708,0
25882162714,0
25930755460,0
25930755464,0
25930755470,0
25930755475,0
25989686411,0
25989686419,0
26167829738,0
26167829741,0
26352675853,0
26352675858,0
26533471751,0
26533471753,0
26533471755,0
26533471757,0
26533471760,0
26533471763,0
26602609928,0
26602609930,0
26601063478,0
26601063480,0
26696776110,0
26696776111,0
26696776125,0
26696776131,0
26725039674,0
26725039675,0
26782877213,0
26782877215,0
26782877216,0
26782877219,0
26972452414,0
26972452419,0
27219985206,0
27219985207,0
27219985208,0
27219985211,0
27219985213,0
27219985217,0
27219985221,0
27219985227,0
27507217590,0
27507217592,0
28105034863,0
28105034864,0
28105034866,0
28105034868,0
29275834781,0
29275834782,0
29465046199,0
29275834783,0
29465046200,0
29275834784,0
29275834785,0
29275834787,0
29593896343,0
29593896344,0
29593896345,0
29593896346,0
29669099249,0
29669099250,0
31432283096,0
31432283099,0
31432283102,0
31432283103,0
31467046857,0
31467046871,0
31609550535,0
31609550537,0
31665695538,0
31665695540,0
31665695558,0
31665695562,0
31741610588,0
31741610589,0
31838357950,0
31838357951,0
31838330031,0
31838330033,0
31940985896,0
31940985898,0
31988650943,0
31988650944,0
32081963841,0
32081963843,0
32277208448,0
32277208449,0
32334264392,0
32334264394,0
32475322438,0
32584892557,0
32475322439,0
32584892559,0
32584892570,0
32584892572,0
32714221267,0
32714221271,0
32772191072,0
32772191074,0
32959356299,0
32959356301,0
32959356374,0
32959356376,0
33015969142,0
33015969144,0
33152329394,0
33152329395,0
33235481228,0
33235481244,0
33519679546,0
33519679622,0
31432283097,0
31432283100,0
31467046460,0
31467046464,0
31609544296,0
31609544298,0
31609544371,0
31609544382,0
31664904274,0
31664904353,0
31838330026,0
31838330027,0
31838330028,0
31838330029,0
31838330030,0
31838330032,0
31940985881,0
31940985897,0
32081963802,0
32081963805,0
32081963806,0
32081963842,0
32584892549,0
32584892550,0
32334264393,0
32334264395,0
32584892558,0
32584892571,0
32714221239,0
32714221268,0
32772191060,0
32772191073,0
32959356296,0
32959356300,0
32959356302,0
32959356375,0
33015969141,0
33015969143,0
33235481213,0
33235481222,0
33235481229,0
33235481245,0
31432283098,0
31432283101,0
31609544297,0
31609544299,0
31665695531,0
31665695533,0
31665695539,0
31665695541,0
31665695612,0
31507353247,0
31507353249,0
31507353251,0
31507353253,0
31627330995,0
31627330996,0
31627331007,0
31627331097,0
31741610566,0
31741610574,0
31741610590,0
31741610613,0
32334264372,0
32334264373,0
32475322376,0
32475322381,0
32334264378,0
32334264384,0
32475322403,0
32475322420,0
32505982286,0
32505982296,0
32505982436,0
32824260886,0
32824260893,0
32824260899,0
32824260909,0
32919000131,0
32919000140,0
33235481209,0
33235481211,0
33235481214,0
33235481218,0
33235481227,0
33235481243,0
33519679545,0
33519679621,0
31609550508,0
31609550509,0
31665695526,0
31665695530,0
31609550570,0
31609550768,0
31665695548,0
31665695584,0
31838357926,0
31838357930,0
31838357934,0
31838357953,0
32119809202,0
32119809203,0
32081963807,0
32081963821,0
32505982279,0
32505982282,0
32475322404,0
32475322421,0
32505982287,0
32505982297,0
32505982437,0
32661871226,0
32661871229,0
32824260887,0
32824260894,0
32983659881,0
32983659882,0
32983659884,0
32983659890,0
33098951243,0
33098951246,0
31609550510,0
31609550523,0
31609550524,0
31609550536,0
31609550571,0
31609550769,0
31665695549,0
31665695585,0
